query,listing_id,text_similarity,rating,rating_norm,review_count,review_count_norm,reviews_per_month,reviews_per_month_norm,availability_365,availability_365_norm,price,price_norm,price_fit,accommodates_fit,location_match,property_type_match,room_type_match,flexible_cancellation_match,instant_bookable_match,wifi_match,family_home_match,query_wants_wifi,query_wants_family_friendly,preferred_entire_home_match,query_wants_cheap,query_wants_good_reviews,query_wants_flexible_cancellation,query_wants_instant_bookable,query_prefers_entire_home,rule_score,label
entire place near beach in Manly,17046109,0.0,98.0,0.98,10.0,0.02,0.5,0.05,97.0,0.26575342465753427,300.0,0.3,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.348,0
entire place near beach in Manly,17097977,0.0,100.0,1.0,3.0,0.006,0.14,0.014000000000000002,183.0,0.5013698630136987,285.0,0.285,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3506,0
entire place near beach in Manly,17108917,0.0,98.0,0.98,13.0,0.026,0.61,0.061,35.0,0.0958904109589041,195.0,0.195,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3486,0
entire place near beach in Manly,17110611,0.0,98.0,0.98,19.0,0.038,0.89,0.089,195.0,0.5342465753424658,161.0,0.161,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3498,0
entire place near beach in Manly,17160742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.4520547945205479,1501.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.15,0
entire place near beach in Manly,17175676,0.0,100.0,1.0,1.0,0.002,0.06,0.006,6.0,0.01643835616438356,1250.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3502,0
entire place near beach in Manly,17190945,0.0,98.0,0.98,12.0,0.024,0.55,0.05500000000000001,0.0,0.0,190.0,0.19,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3484,0
entire place near beach in Manly,17191893,0.0,85.0,0.85,4.0,0.008,0.19,0.019,0.0,0.0,251.0,0.251,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3208,0
entire place near beach in Manly,17223695,0.0,99.0,0.99,59.0,0.118,2.86,0.286,258.0,0.7068493150684931,449.0,0.449,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3598,0
entire place near beach in Manly,17245255,0.0,80.0,0.8,2.0,0.004,0.1,0.01,3.0,0.00821917808219178,270.0,0.27,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3104,0
entire place near beach in Manly,17268762,0.0,90.0,0.9,2.0,0.004,0.15,0.015,159.0,0.43561643835616437,306.0,0.306,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3304,0
entire place near beach in Manly,17319785,0.0,80.0,0.8,3.0,0.006,0.14,0.014000000000000002,14.0,0.038356164383561646,104.0,0.104,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3106,0
entire place near beach in Manly,17347811,0.0,100.0,1.0,6.0,0.012,0.28,0.028000000000000004,14.0,0.038356164383561646,350.0,0.35,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3512,0
entire place near beach in Manly,17411956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0821917808219178,161.0,0.161,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.15,0
entire place near beach in Manly,17547828,0.0,100.0,1.0,2.0,0.004,0.1,0.01,5.0,0.0136986301369863,180.0,0.18,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3504,0
entire place near beach in Manly,17577446,0.0,100.0,1.0,47.0,0.094,2.29,0.229,277.0,0.7589041095890411,349.0,0.349,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3594,0
entire place near beach in Manly,17592048,0.0,100.0,1.0,1.0,0.002,0.09,0.009,152.0,0.41643835616438357,1501.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3502,0
entire place near beach in Manly,17610318,0.0,100.0,1.0,7.0,0.014,0.54,0.054000000000000006,262.0,0.7178082191780822,239.0,0.239,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3514,0
entire place near beach in Manly,17670695,0.0,95.0,0.95,4.0,0.008,0.23,0.023,0.0,0.0,450.0,0.45,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3408,0
entire place near beach in Manly,17701991,0.0,88.0,0.88,29.0,0.058,1.38,0.13799999999999998,36.0,0.09863013698630137,550.0,0.55,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3318,0
entire place near beach in Manly,17724777,0.0,93.0,0.93,3.0,0.006,0.15,0.015,0.0,0.0,120.0,0.12,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3366,0
entire place near beach in Manly,17865900,0.0,80.0,0.8,4.0,0.008,0.22,0.022,315.0,0.863013698630137,419.0,0.419,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3108,0
entire place near beach in Manly,18024351,0.0,100.0,1.0,10.0,0.02,0.66,0.066,34.0,0.09315068493150686,136.0,0.136,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.352,0
entire place near beach in Manly,18030516,0.0,100.0,1.0,12.0,0.024,0.59,0.059,265.0,0.726027397260274,285.0,0.285,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3524,0
entire place near beach in Manly,18043325,0.0,87.0,0.87,3.0,0.006,0.24,0.024,0.0,0.0,82.0,0.082,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3246,0
entire place near beach in Manly,18047045,0.0,100.0,1.0,1.0,0.002,0.09,0.009,297.0,0.8136986301369863,400.0,0.4,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3502,0
entire place near beach in Manly,18065364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.958904109589041,725.0,0.725,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.15,0
entire place near beach in Manly,18077484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.14520547945205478,599.0,0.599,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.15,0
entire place near beach in Manly,18080963,0.0,90.0,0.9,30.0,0.06,1.5,0.15,339.0,0.9287671232876712,210.0,0.21,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.336,0
entire place near beach in Manly,18125184,0.0,99.0,0.99,29.0,0.058,1.46,0.146,232.0,0.6356164383561644,350.0,0.35,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3538,0
